,0,1,2,3,4,5,6,7,8,9,10,11
0,Monat_1,Stunde_6,Wochentag_6,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_2,PKW_1,StrassenZustand_1,,,
1,Monat_3,Stunde_13,Wochentag_7,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_2,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
2,Monat_11,Stunde_18,Wochentag_2,Unfallaktegorie_3,UnfallArt_3,UnfallTyp_6,Lichverhaeltniss_2,Fahrrad_1,PKW_1,StrassenZustand_0,,
3,Monat_8,Stunde_19,Wochentag_5,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_2,Lichverhaeltniss_0,Fahrrad_1,PKW_1,StrassenZustand_0,,
4,Monat_10,Stunde_22,Wochentag_6,Unfallaktegorie_3,UnfallArt_1,UnfallTyp_5,Lichverhaeltniss_2,Fahrrad_1,PKW_1,StrassenZustand_0,,
5,Monat_8,Stunde_16,Wochentag_3,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
6,Monat_4,Stunde_19,Wochentag_2,Unfallaktegorie_2,UnfallArt_3,UnfallTyp_6,Lichverhaeltniss_0,Fahrrad_1,StrassenZustand_0,,,
7,Monat_4,Stunde_16,Wochentag_4,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
8,Monat_5,Stunde_14,Wochentag_4,Unfallaktegorie_2,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_0,Fahrrad_1,PKW_1,StrassenZustand_0,,
9,Monat_11,Stunde_8,Wochentag_6,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_0,PKW_1,Sonstiges_1,StrassenZustand_0,,
10,Monat_12,Stunde_9,Wochentag_3,Unfallaktegorie_3,UnfallArt_0,UnfallTyp_3,Lichverhaeltniss_0,PKW_1,KraftRad_1,StrassenZustand_1,,
11,Monat_9,Stunde_14,Wochentag_5,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_0,PKW_1,KraftRad_1,StrassenZustand_0,,
12,Monat_8,Stunde_7,Wochentag_6,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_0,PKW_1,Sonstiges_1,StrassenZustand_0,,
13,Monat_6,Stunde_11,Wochentag_6,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
14,Monat_7,Stunde_22,Wochentag_4,Unfallaktegorie_3,UnfallArt_0,UnfallTyp_1,Lichverhaeltniss_2,KraftRad_1,StrassenZustand_0,,,
15,Monat_5,Stunde_7,Wochentag_4,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
16,Monat_3,Stunde_18,Wochentag_6,Unfallaktegorie_3,UnfallArt_0,UnfallTyp_3,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
17,Monat_11,Stunde_14,Wochentag_3,Unfallaktegorie_3,UnfallArt_6,UnfallTyp_7,Lichverhaeltniss_0,Fuss_1,Sonstiges_1,StrassenZustand_0,,
18,Monat_6,Stunde_11,Wochentag_1,Unfallaktegorie_3,UnfallArt_9,UnfallTyp_1,Lichverhaeltniss_0,PKW_1,StrassenZustand_1,,,
19,Monat_12,Stunde_23,Wochentag_5,Unfallaktegorie_2,UnfallArt_8,UnfallTyp_1,Lichverhaeltniss_2,PKW_1,StrassenZustand_1,,,
20,Monat_10,Stunde_16,Wochentag_7,Unfallaktegorie_3,UnfallArt_6,UnfallTyp_7,Lichverhaeltniss_0,PKW_1,Fuss_1,StrassenZustand_0,,
21,Monat_8,Stunde_17,Wochentag_5,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
22,Monat_4,Stunde_21,Wochentag_4,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_2,Fahrrad_1,PKW_1,StrassenZustand_0,,
23,Monat_3,Stunde_17,Wochentag_1,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_2,Lichverhaeltniss_0,Fahrrad_1,PKW_1,StrassenZustand_0,,
24,Monat_5,Stunde_14,Wochentag_5,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_0,PKW_1,KraftRad_1,StrassenZustand_0,,
25,Monat_10,Stunde_6,Wochentag_5,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_2,PKW_1,StrassenZustand_1,,,
26,Monat_3,Stunde_20,Wochentag_6,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_2,Lichverhaeltniss_2,PKW_1,KraftRad_1,StrassenZustand_0,,
27,Monat_11,Stunde_6,Wochentag_3,Unfallaktegorie_3,UnfallArt_3,UnfallTyp_6,Lichverhaeltniss_1,GueterKFZ_1,Sonstiges_1,StrassenZustand_0,,
28,Monat_9,Stunde_9,Wochentag_1,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
29,Monat_8,Stunde_17,Wochentag_6,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_0,Fahrrad_1,PKW_1,StrassenZustand_0,,
30,Monat_6,Stunde_12,Wochentag_2,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
31,Monat_7,Stunde_13,Wochentag_2,Unfallaktegorie_2,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
32,Monat_6,Stunde_10,Wochentag_3,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_2,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
33,Monat_8,Stunde_10,Wochentag_5,Unfallaktegorie_3,UnfallArt_0,UnfallTyp_1,Lichverhaeltniss_0,KraftRad_1,StrassenZustand_0,,,
