"","rules","support","confidence","lift","count"
"2","{8=KraftRad_1} => {7=PKW_1}",0.107090536185174,0.897483118477594,1.61897985378648,1462
"3","{8=KraftRad_1} => {9=StrassenZustand_0}",0.101010840902432,0.846531614487416,1.59229120983497,1379
"4","{8=Fuss_1} => {4=UnfallArt_6}",0.123058892469968,0.952380952380952,6.76126092662754,1680
"5","{4=UnfallArt_6} => {8=Fuss_1}",0.123058892469968,0.873634945397816,6.76126092662754,1680
"6","{8=Fuss_1} => {7=PKW_1}",0.103867565191913,0.803854875283447,1.45008281677717,1418
"7","{2=Wochentag_6} => {3=Unfallaktegorie_3}",0.13419279226487,0.851301115241636,1.0163500503086,1832
"8","{2=Wochentag_2} => {3=Unfallaktegorie_3}",0.136463521828304,0.838433843384338,1.00098809181312,1863
"9","{2=Wochentag_4} => {3=Unfallaktegorie_3}",0.140785232932904,0.837108013937282,0.999405212616684,1922
"10","{2=Wochentag_3} => {3=Unfallaktegorie_3}",0.143861705244653,0.852430555555556,1.01769846475247,1964
"11","{2=Wochentag_5} => {3=Unfallaktegorie_3}",0.144301201289188,0.845130845130845,1.00898349783352,1970
"12","{4=UnfallArt_2} => {7=PKW_1}",0.159683562847934,0.846601941747573,1.52719472895585,2180
"13","{4=UnfallArt_2} => {3=Unfallaktegorie_3}",0.175651919132728,0.93126213592233,1.11181378920959,2398
"14","{5=UnfallTyp_3} => {4=UnfallArt_5}",0.186639320246118,0.908054169636493,2.36895767702607,2548
"15","{5=UnfallTyp_3} => {3=Unfallaktegorie_3}",0.172868444184002,0.841054882394868,1.00411729378703,2360
"16","{5=UnfallTyp_6} => {3=Unfallaktegorie_3}",0.203633167301494,0.903183885640026,1.07829177146984,2780
"17","{8=StrassenZustand_0} => {3=Unfallaktegorie_3}",0.228537943158512,0.861402540033131,1.02840992361454,3120
"18","{5=UnfallTyp_2} => {3=Unfallaktegorie_3}",0.209493114561969,0.851951146857313,1.01712610904207,2860
"19","{8=PKW_1} => {7=Fahrrad_1}",0.262745385291532,1,2.62942989214176,3587
"20","{8=PKW_1} => {9=StrassenZustand_0}",0.220407266334603,0.838862559241706,1.57786603179495,3009
"21","{8=PKW_1} => {6=Lichverhaeltniss_0}",0.211544096103135,0.805129634792306,1.07792779976312,2888
"22","{8=PKW_1} => {3=Unfallaktegorie_3}",0.231907412833285,0.882631725676052,1.05375499072405,3166
"23","{4=UnfallArt_5} => {3=Unfallaktegorie_3}",0.321344857896279,0.838333651824957,1.00086847527016,4387
"24","{7=Fahrrad_1} => {6=Lichverhaeltniss_0}",0.304790506885438,0.801425269645609,1.07296830255976,4161
"25","{7=Fahrrad_1} => {3=Unfallaktegorie_3}",0.325886317023147,0.856895223420647,1.02302873547343,4449
"26","{7=PKW_1} => {3=Unfallaktegorie_3}",0.461470846762379,0.832452431289641,0.993847012852311,6300
